"n","k","method","alignment","path_rel","edge_rel","stress1","coordinate_rmse","coordinate_relative_rmse","alignment_scale","surface_rms","surface_mc_se","surface_forward_rms","surface_reverse_rms","surface_area","reference_area","zero_area_faces","sample_size","surface_seed","subdivisions"
500,7,"Metric MDS","similarity",0.0446666946320885,0.202449686399102,0.0387406565125473,0.240477898011383,0.258297386038079,0.855400769189699,0.195308874563947,0.0019863367810659,0.189376095545089,0.201066674023739,6.37961029845001,6.35828279568902,0,2000,1901,2
500,7,"Metric MDS","similarity",0.0446666946320885,0.202449686399102,0.0387406565125473,0.240477898011383,0.258297386038079,0.855400769189699,0.194477246999422,0.000984040912134503,0.190140777151442,0.198719108455111,6.37961029845001,6.35828279568902,0,8000,1901,2
500,7,"MDS + edge-KK","rigid",0.00121937697708318,0.00369477222966227,0.0403775511690837,0.280191310656723,0.300953575075698,1,0.229368802543028,0.00221045160433758,0.250208745620744,0.206435652867761,8.54499845683594,6.35828279568902,0,2000,1901,2
500,7,"MDS + edge-KK","rigid",0.00121937697708318,0.00369477222966227,0.0403775511690837,0.280191310656723,0.300953575075698,1,0.229147168959658,0.00112643804795179,0.251734574204978,0.204074874088631,8.54499845683594,6.35828279568902,0,8000,1901,2
500,7,"MDS + edge-KK","similarity",0.00121937697708318,0.00369477222966227,0.0403775511690837,0.237249064150818,0.254829294570913,0.857944973990169,0.193921025863047,0.00187579074372862,0.191828280078799,0.195991427122624,6.28971341150909,6.35828279568902,0,2000,1901,2
500,7,"MDS + edge-KK","similarity",0.00121937697708318,0.00369477222966227,0.0403775511690837,0.237249064150818,0.254829294570913,0.857944973990169,0.193531478612217,0.000945768357277158,0.193551041354943,0.193511913891832,6.28971341150909,6.35828279568902,0,8000,1901,2
500,8,"Original saddle","rigid",0,4.56225358287962e-17,0.0638846585225508,2.87678620804604e-16,3.08995697265083e-16,1,0.0256448911478696,0.00113350081595117,0.0350757157132009,0.00922036068594232,6.84589644493833,6.35828279568902,0,2000,1901,2
500,8,"Original saddle","rigid",0,4.56225358287962e-17,0.0638846585225508,2.87678620804604e-16,3.08995697265083e-16,1,0.0247483276150048,0.000540537945252676,0.0338778531670904,0.00878922660239662,6.84589644493833,6.35828279568902,0,8000,1901,2
500,8,"Original saddle","similarity",0,4.56225358287962e-17,0.0638846585225508,3.21169947754847e-16,3.44968742096775e-16,1,0.0256448911478696,0.00113350081595117,0.0350757157132009,0.00922036068594235,6.84589644493833,6.35828279568902,0,2000,1901,2
500,8,"Original saddle","similarity",0,4.56225358287962e-17,0.0638846585225508,3.21169947754847e-16,3.44968742096775e-16,1,0.0247483276150048,0.000540537945252676,0.0338778531670904,0.00878922660239665,6.84589644493833,6.35828279568902,0,8000,1901,2
500,8,"Metric MDS","rigid",0.0440726103258353,0.189304577643292,0.037615477302757,0.319918507951086,0.343624570209177,1,0.251319669130265,0.00236710183540126,0.264242566721134,0.237695221062853,8.29987515515481,6.35828279568902,0,2000,1901,2
500,8,"Metric MDS","rigid",0.0440726103258353,0.189304577643292,0.037615477302757,0.319918507951086,0.343624570209177,1,0.251796125815733,0.00121657273441109,0.267125847252309,0.235470507030842,8.29987515515481,6.35828279568902,0,8000,1901,2
500,8,"Metric MDS","similarity",0.0440726103258353,0.189304577643292,0.037615477302757,0.282502152535054,0.30343565106545,0.855257238701141,0.22025574550987,0.0021319272681135,0.204280568220098,0.235148115680077,6.07106771848307,6.35828279568902,0,2000,1901,2
500,8,"Metric MDS","similarity",0.0440726103258353,0.189304577643292,0.037615477302757,0.282502152535054,0.30343565106545,0.855257238701141,0.220352984533931,0.00108036003413817,0.207021837360001,0.232922378577309,6.07106771848307,6.35828279568902,0,8000,1901,2
500,8,"MDS + edge-KK","rigid",0.00198331429857962,0.00468044134654911,0.0387212243794025,0.31811583634249,0.341688320066292,1,0.259593229804802,0.00246074352767791,0.279322597220214,0.238235548571434,8.23370468439047,6.35828279568902,0,2000,1901,2
500,8,"MDS + edge-KK","rigid",0.00198331429857962,0.00468044134654911,0.0387212243794025,0.31811583634249,0.341688320066292,1,0.258518571451189,0.00123466961388484,0.279425734230814,0.235764633946437,8.23370468439047,6.35828279568902,0,8000,1901,2
