"case","regime","k","preparation","classical","stress"
"paraboloid-disk-rep1-n240-r8","ambient",16,0.819000000000003,0.0139999999999958,0.700999999999993
"paraboloid-disk-rep1-n240-r8","ambient",239,5.875,0.0099999999999909,0.994
"paraboloid-disk-rep1-n240-r8","ambient",32,1.203,0.0130000000000052,0.62299999999999
"paraboloid-disk-rep1-n240-r8","ambient",4,0.51100000000001,0.0139999999999958,1.08200000000001
"paraboloid-disk-rep1-n240-r8","ambient",64,2.125,0.0139999999999958,0.691999999999993
"paraboloid-disk-rep1-n240-r8","ambient",8,0.614000000000004,0.0150000000000006,0.933999999999997
"paraboloid-disk-rep1-n240-r8","geodesic",128,4.391,0.0149999999999935,0.747999999999998
"paraboloid-disk-rep1-n240-r8","geodesic",16,0.824,0.0129999999999999,0.757
"paraboloid-disk-rep1-n240-r8","geodesic",239,6.206,0.0159999999999982,0.690999999999999
"paraboloid-disk-rep1-n240-r8","geodesic",32,1.279,0.0140000000000002,0.686
"paraboloid-disk-rep1-n240-r8","geodesic",4,0.663,0.016,3.309
"paraboloid-disk-rep1-n240-r8","geodesic",64,2.253,0.0139999999999993,0.708
"paraboloid-disk-rep1-n240-r8","geodesic",8,0.715,0.0149999999999999,2.312
"paraboloid-disk-rep1-n480-r64","ambient",128,15.873,0.105999999999995,7.005
"paraboloid-disk-rep1-n480-r64","ambient",16,4.24900000000002,0.197999999999979,8.31799999999998
"paraboloid-disk-rep1-n480-r64","ambient",479,48.329,0.0860000000000127,6.52199999999993
"paraboloid-disk-rep1-n480-r64","ambient",64,9.80899999999997,0.11099999999999,7.68700000000001
"paraboloid-disk-rep1-n480-r64","ambient",8,3.91899999999998,0.281000000000063,10.17
"paraboloid-disk-rep1-n480-r64","geodesic",128,14.407,0.0980000000000132,6.979
"paraboloid-disk-rep1-n480-r64","geodesic",16,4.307,0.186,8.982
"paraboloid-disk-rep1-n480-r64","geodesic",479,43.966,0.0980000000000132,7.07600000000002
"paraboloid-disk-rep1-n480-r64","geodesic",64,8.794,0.0989999999999966,7.28400000000001
"paraboloid-disk-rep1-n480-r64","geodesic",8,3.894,0.189,9.257
"paraboloid-disk-rep2-n240-r1","ambient",128,3.92000000000002,0.01400000000001,0.608000000000004
"paraboloid-disk-rep2-n240-r1","ambient",16,0.817999999999984,0.0139999999999816,0.703000000000003
"paraboloid-disk-rep2-n240-r1","ambient",239,6.267,0.0099999999999909,0.421999999999997
"paraboloid-disk-rep2-n240-r1","ambient",32,1.273,0.01400000000001,0.625999999999976
"paraboloid-disk-rep2-n240-r1","ambient",4,0.521000000000015,0.01400000000001,0.84899999999999
"paraboloid-disk-rep2-n240-r1","ambient",64,2.18899999999999,0.0130000000000052,0.626000000000005
"paraboloid-disk-rep2-n240-r1","ambient",8,0.62299999999999,0.0139999999999816,0.609000000000009
"paraboloid-disk-rep2-n240-r1","geodesic",128,3.863,0.0150000000000006,0.658000000000001
