"case","regime","k","components_before","bridges","edges","route_strict_max","degree_min","degree_q05","degree_median","degree_q95","degree_max","length_min","length_q05","length_median","length_q95","length_max","base_separation_min","base_separation_q05","base_separation_median","base_separation_q95","base_separation_max"
"saddle-surface_area-rep2-n240-r32","ambient",16,1,0,2182,4.44089209850063e-16,16,16,18,22,27,1.20213971790643,13.8360299439147,48.1953063428574,125.955450383494,344.412324905687,0.00391885322799917,0.0718254375926588,0.802699007357708,1.8428046368273,1.97626970246844
"saddle-surface_area-rep2-n240-r32","ambient",239,1,0,28680,2.95147954965103e-08,239,239,239,239,239,1.20213971790643,55.7744449168011,442.955473131368,1236.01709464613,2031.93349363779,0.00391885322799917,0.229185339673543,1.01446482036171,1.72949120655728,1.97802052495812
"saddle-surface_area-rep2-n240-r32","ambient",32,1,0,4297,3.83846976426128e-08,32,32,35,43.05,56,1.20213971790643,20.3327131815746,70.5082079058879,228.664736069027,589.301396621857,0.00391885322799917,0.0928662783891538,0.920668649982507,1.82840712336682,1.97802052495812
"saddle-surface_area-rep2-n240-r32","ambient",4,3,4,595,8.88178419700125e-16,4,4,5,7,9,1.20213971790643,6.62777629818233,26.0274503093392,61.7737363124097,187.477316479216,0.00391885322799917,0.0349522433746488,0.356911283399216,1.56452293072518,1.97415815885728
"saddle-surface_area-rep2-n240-r32","ambient",64,1,0,9002,9.67932312079256e-09,64,64,72,97,107,1.20213971790643,31.5511107523534,133.455581838219,446.371726762255,832.886415201603,0.00391885322799917,0.126185529610682,0.923571023419661,1.7976123528341,1.97802052495812
"saddle-surface_area-rep2-n240-r32","ambient",8,1,0,1149,8.88178419700125e-16,8,8,9,13,15,1.20213971790643,9.70406730025105,35.7301201125532,75.5425276791589,263.522539873782,0.00391885322799917,0.0498257219934975,0.561880372661225,1.82571511799647,1.97415815885728
"saddle-surface_area-rep2-n240-r32","geodesic",128,1,0,20552,4.48282451159798e-08,128,128,131,239,239,1.20214138471697,60.1045243837174,423.480471693632,936.191231024676,1270.64002157515,0.00391885322799917,0.19232444992939,0.861338110449916,1.6351564664692,1.97779934248704
"saddle-surface_area-rep2-n240-r32","geodesic",16,1,0,2222,1.41388186991609e-08,16,16,18,24,36,1.20214138471697,14.4670800580916,64.519991679928,243.241393465251,476.0443538576,0.00391885322799917,0.0627541689123995,0.38782288573825,1.01587530369452,1.67252617296099
"saddle-surface_area-rep2-n240-r32","geodesic",239,1,0,28680,2.97063613707849e-08,239,239,239,239,239,1.20214138471697,78.4432829332301,581.628697276944,1339.93560344725,2031.93459341356,0.00391885322799917,0.229185339673543,1.01446482036171,1.72949120655728,1.97802052495812
"saddle-surface_area-rep2-n240-r32","geodesic",32,1,0,4790,3.05996183946888e-08,32,32,38,55.05,71,1.20214138471697,22.576162594771,123.194275252742,443.630212720189,800.079027271704,0.00391885322799917,0.0909979445396396,0.438515442270264,1.0711915176443,1.91317115934916
"saddle-surface_area-rep2-n240-r32","geodesic",4,4,3,590,8.88178419700125e-16,4,4,5,7,8,1.20214138471697,6.62049623204631,26.9612522713111,79.0567347048229,263.427302545569,0.00391885322799917,0.0313046738750769,0.295920444265227,0.798275074479137,1.1387951101734
"saddle-surface_area-rep2-n240-r32","geodesic",64,1,0,10408,3.11113534934293e-08,64,64,73.5,165.1,207,1.20214138471697,36.8542218540313,238.473323168343,718.76184713481,1050.86036353667,0.00391885322799917,0.134620812328008,0.601935351727389,1.30974974646105,1.96845041890102
"saddle-surface_area-rep2-n240-r32","geodesic",8,1,0,1114,9.60962698304257e-10,8,8,9,12,17,1.20214138471697,9.59252355066277,38.5322218494014,129.728273574964,344.412324913888,0.00391885322799917,0.0450266461086624,0.328697276897331,0.960238680874759,1.29825271406457
"saddle-surface_area-rep2-n240-r4","ambient",128,1,0,18694,4.44089209850063e-16,128,128,147,218,239,0.0495921986542285,1.84545245120131,6.34588955937259,12.2970919922619,18.2415586249483,0.00393417822967536,0.18432467274975,0.872215030838951,1.72971473711994,1.97772586935589
"saddle-surface_area-rep2-n240-r4","ambient",16,1,0,2237,4.44089209850063e-16,16,16,18,24,27,0.0495921986542285,0.597933016991854,2.07067110433013,4.14823622526203,7.56001087816764,0.00393417822967536,0.0599955350609705,0.255263025167585,0.635936344818115,1.86219907165906
"saddle-surface_area-rep2-n240-r4","ambient",239,1,0,28680,9.49082101797671e-09,239,239,239,239,239,0.0495921986542285,2.36430201997299,8.26015120231633,19.8265326231605,32.2437872260482,0.00393417822967536,0.229816150331856,1.00581380408181,1.72706429447207,1.97772586935589
"saddle-surface_area-rep2-n240-r4","ambient",32,1,0,4652,4.44089209850063e-16,32,32,37.5,52.05,65,0.0495921986542285,0.89393060501933,3.09674680889853,6.9688764221203,10.1756477243677,0.00393417822967536,0.088459803471036,0.386464486766391,1.0158327396463,1.97390636774357
"saddle-surface_area-rep2-n240-r4","ambient",4,1,0,610,8.88178419700125e-16,4,4,5,7,9,0.0495921986542285,0.315814175421963,1.05365529039809,1.93334500019604,4.26587809814566,0.00393417822967536,0.0306006334106718,0.153080688165466,0.356671577405111,0.541837264507291
"saddle-surface_area-rep2-n240-r4","ambient",64,1,0,9612,4.44089209850063e-16,64,64,78,105.05,115,0.0495921986542285,1.29244643365734,4.51408528302707,8.58732784785368,13.6872961591095,0.00393417822967536,0.129792556377307,0.640551476541247,1.73780424059786,1.97595137573101
"saddle-surface_area-rep2-n240-r4","ambient",8,1,0,1142,4.44089209850063e-16,8,8,9,12.05,16,0.0495921986542285,0.435146279126595,1.4137926084658,2.61326613397698,5.52868307936029,0.00393417822967536,0.044318431339848,0.199299291085434,0.481934146013299,0.763424850520088
"saddle-surface_area-rep2-n240-r4","geodesic",128,1,0,20367,1.95581353334973e-08,128,128,134,239,239,0.0495922861159095,1.97232253072298,7.91180567410265,16.0977470892244,20.7863099713149,0.00393417822967536,0.192890284888429,0.826850182616605,1.55446625755733,1.96805335197626
"saddle-surface_area-rep2-n240-r4","geodesic",16,1,0,2233,1.83225645766782e-08,16,16,18,24,28,0.0495922861159095,0.59729022712894,2.09466452280401,4.16022270309427,7.68599435662059,0.00393417822967536,0.0599870087021952,0.253089119068158,0.628931184328615,0.882863525079328
"saddle-surface_area-rep2-n240-r4","geodesic",239,1,0,28680,2.93491013714231e-08,239,239,239,239,239,0.0495922861159095,2.39841124980721,10.3025197557483,21.9086006969576,32.244839392227,0.00393417822967536,0.229816150331856,1.00581380408181,1.72706429447207,1.97772586935589
"saddle-surface_area-rep2-n240-r4","geodesic",32,1,0,4613,2.92751387576118e-08,32,32,36,52,63,0.0495922861159095,0.894427214192868,3.15426983424169,7.35112342819068,12.7269010403163,0.00393417822967536,0.0882861705902613,0.36789072423822,0.824645607211685,1.13749179674898
"saddle-surface_area-rep2-n240-r4","geodesic",4,1,0,609,8.88178419700125e-16,4,4,5,7,9,0.0495922861159095,0.315885863504907,1.05962657898295,1.93827495557809,4.26632525591417,0.00393417822967536,0.0305830097115043,0.152837248141808,0.356735599743337,0.541837264507291
"saddle-surface_area-rep2-n240-r4","geodesic",64,1,0,9906,1.91394271542578e-08,64,64,72,140.2,193,0.0495922861159095,1.31915185317262,4.96441996926973,11.7823179155014,17.261131726913,0.00393417822967536,0.131634030405396,0.536363349772078,1.0313802081082,1.40887984614447
"saddle-surface_area-rep2-n240-r4","geodesic",8,1,0,1141,4.44089209850063e-16,8,8,9,12,16,0.0495922861159095,0.435061184709434,1.41806063088543,2.6359323734054,5.52868315893504,0.00393417822967536,0.0443175269406871,0.198650600490109,0.479137019351414,0.763424850520088
"saddle-surface_area-rep2-n240-r64","ambient",128,1,0,18545,2.86400156923605e-08,128,128,143,239,239,3.02065196168568,129.861542958296,1097.40352206703,2916.67045034128,4506.55864173886,0.00391864885175793,0.182633785749388,0.936026876204522,1.75664007341442,1.97802446683306
"saddle-surface_area-rep2-n240-r64","ambient",16,1,0,2163,1.23622339032181e-08,16,16,17.5,22,26,3.02065196168568,40.0151920740754,142.566229066684,485.163078089385,1370.92374193883,0.00391864885175793,0.0776164025268177,0.925766515953575,1.85174002924617,1.97802446683306
"saddle-surface_area-rep2-n240-r64","ambient",239,1,0,28680,3.02285831921267e-08,239,239,239,239,239,3.02065196168568,177.538037454416,1768.70277616824,4941.49528846128,8126.21474006192,0.00391864885175793,0.229179866305394,1.01455142566681,1.72953103471006,1.97802446683306
"saddle-surface_area-rep2-n240-r64","ambient",32,1,0,4286,1.23622338615847e-08,32,32,35,44,56,3.02065196168568,61.0565662805669,255.604557160426,909.423218237084,2349.66412829417,0.00391864885175793,0.0962022745622617,0.941155550098812,1.83056432214554,1.97802446683306
"saddle-surface_area-rep2-n240-r64","ambient",4,3,3,580,8.88178419700125e-16,4,4,5,6.04999999999998,8,3.02065196168568,22.4380308075924,74.6635321096418,172.587765839191,718.132940387216,0.00391864885175793,0.044451350580925,0.579930600236412,1.83411887213993,1.97416152732556
"saddle-surface_area-rep2-n240-r64","ambient",64,1,0,8992,3.1364736585715e-08,64,64,72,97.05,106,3.02065196168568,88.7263567371758,520.202089128773,1776.48762113525,3330.78691898539,0.00391864885175793,0.126308501760634,0.930305807765036,1.79833561153403,1.97802446683306
"saddle-surface_area-rep2-n240-r64","ambient",8,1,0,1115,8.88178419700125e-16,8,8,9,12,14,3.02065196168568,27.9338706449791,100.412302281757,268.698839504294,1035.54318972124,0.00391864885175793,0.0647586579272715,0.805844905911613,1.85470425152789,1.97627396101093
"saddle-surface_area-rep2-n240-r64","geodesic",128,1,0,20551,3.98412387525582e-08,128,128,131,239,239,3.02065467154517,227.046058358124,1687.83687851757,3734.92794232746,5077.43790742255,0.00391864885175793,0.192340113374536,0.861684626172041,1.63743225593011,1.97780218311771
"saddle-surface_area-rep2-n240-r64","geodesic",16,1,0,2228,1.1070734329266e-08,16,16,18,25,35,3.02065467154517,41.7871742285422,249.331868270138,970.644226755369,1903.36609792907,0.00391864885175793,0.064215092406309,0.393910988374953,1.02519918428958,1.6725939774481
"saddle-surface_area-rep2-n240-r64","geodesic",239,1,0,28680,4.40866028128539e-08,239,239,239,239,239,3.02065467154517,302.992899916095,2319.94514276875,5355.37524082681,8126.2158423408,0.00391864885175793,0.229179866305394,1.01455142566681,1.72953103471006,1.97802446683306
"saddle-surface_area-rep2-n240-r64","geodesic",32,1,0,4802,2.12712925051761e-08,32,32,38,55.05,72,3.02065467154517,71.8413835099658,484.41438565496,1773.71704757632,3199.61681267354,0.00391864885175793,0.0913568386852905,0.44289014524441,1.08388853222488,1.91318712084344
"saddle-surface_area-rep2-n240-r64","geodesic",4,6,5,580,8.88178419700125e-16,4,4,5,7,8,3.02065467154517,22.4380308534475,84.0792011748282,313.369243584212,1053.23591292673,0.00391864885175793,0.033669033465925,0.336074176955413,0.950567378520556,1.34112476166626
"saddle-surface_area-rep2-n240-r64","geodesic",64,1,0,10414,3.38101977526151e-08,64,64,74,165.1,207,3.02065467154517,126.592164469598,947.797352380746,2864.72675750066,4189.89292189013,0.00391864885175793,0.134624428505608,0.603873270116819,1.34766331570615,1.96845573521307
"saddle-surface_area-rep2-n240-r64","geodesic",8,1,0,1119,8.37805583242535e-09,8,8,9,12,16,3.02065467154517,29.2979839896262,135.211345783087,516.148290237334,1377.17357193568,0.00391864885175793,0.0452048792557052,0.34256624348725,0.983597566579635,1.62107760948826
"saddle-surface_area-rep2-n240-r8","ambient",128,1,0,18581,1.61854170066533e-08,128,128,143,239,239,0.134888563418088,5.4415578183276,19.1962802853321,46.3938232809358,70.6740260384424,0.00392274463240382,0.182877426219534,0.922178348619108,1.75221292366064,1.97794550465877
"saddle-surface_area-rep2-n240-r8","ambient",16,1,0,2254,8.88178419700125e-16,16,16,18,26,30,0.134888563418088,1.78985913467379,6.0399428456257,14.1613518576133,22.4367610456939,0.00392274463240382,0.0597790071377258,0.358281733950166,1.0451317693194,1.97409405166828
"saddle-surface_area-rep2-n240-r8","ambient",239,1,0,28680,8.18570078386927e-09,239,239,239,239,239,0.134888563418088,6.8208284880449,28.923628141266,77.7167412611448,127.469777537087,0.00392274463240382,0.229012248611865,1.01194748389282,1.72878998250331,1.97794550465877
"saddle-surface_area-rep2-n240-r8","ambient",32,1,0,4555,8.18570100591387e-09,32,32,37,49,55,0.134888563418088,2.51974364262308,8.71305184621742,17.8709107943826,38.1176690449485,0.00392274463240382,0.0879627835227828,0.587559216690542,1.77660484479537,1.97618865544797
"saddle-surface_area-rep2-n240-r8","ambient",4,1,0,605,8.88178419700125e-16,4,4,5,7.04999999999998,9,0.134888563418088,0.832223292088053,2.95751297767176,5.91291170199793,16.6100087518475,0.00392274463240382,0.0301146942846961,0.200373353865904,0.500654285646004,0.782566418584776
"saddle-surface_area-rep2-n240-r8","ambient",64,1,0,9146,8.18570078386927e-09,64,64,75,96.05,103,0.134888563418088,3.61883397730723,12.3426894744856,29.2924290405748,52.4298781589433,0.00392274463240382,0.125515134754926,0.816212287279579,1.77690819072419,1.97794550465877
"saddle-surface_area-rep2-n240-r8","ambient",8,1,0,1140,4.44089209850063e-16,8,8,9,12,16,0.134888563418088,1.15592233660774,4.13707575434788,8.563525202961,19.964932868815,0.00392274463240382,0.0438250721281754,0.246215747400867,0.670760594578607,1.97409405166828
"saddle-surface_area-rep2-n240-r8","geodesic",128,1,0,20514,2.79055403229478e-08,128,128,130,239,239,0.134888599855259,5.92485548444298,28.0195195427408,60.0000327186444,80.329813706898,0.00392274463240382,0.19238401542747,0.851284859715748,1.62844500298363,1.97774528179342
"saddle-surface_area-rep2-n240-r8","geodesic",16,1,0,2239,3.70622306178348e-08,16,16,18,25.05,32,0.134888599855259,1.78253344205556,6.2109183068758,15.429939949628,29.9984728410376,0.00392274463240382,0.0597426175195236,0.323559529954258,0.811964465392185,1.14073015768199
"saddle-surface_area-rep2-n240-r8","geodesic",239,1,0,28680,3.29923590669523e-08,239,239,239,239,239,0.134888599855259,7.10925058264181,37.6425343280107,84.7447769114062,127.470865670043,0.00392274463240382,0.229012248611865,1.01194748389282,1.72878998250331,1.97794550465877
"saddle-surface_area-rep2-n240-r8","geodesic",32,1,0,4680,7.58464857586461e-09,32,32,37,52.05,71,0.134888599855259,2.58391567734142,9.5617383109961,28.2708044408542,50.2222857408908,0.00392274463240382,0.0881740677062599,0.412763681415235,0.969832699936192,1.31890966637075
"saddle-surface_area-rep2-n240-r8","geodesic",4,1,0,603,8.88178419700125e-16,4,4,5,7,9,0.134888599855259,0.832514200253917,2.98727900494583,5.92408401835162,16.6104769456966,0.00392274463240382,0.0300783461779648,0.199347020326742,0.500943307883452,0.782566418584776
"saddle-surface_area-rep2-n240-r8","geodesic",64,1,0,10204,1.3984363889108e-08,64,64,73,152.15,204,0.134888599855259,3.92321307057567,16.4631013188593,45.6985409176975,66.9282565803805,0.00392274463240382,0.133438157642523,0.571435771378144,1.1358297001168,1.91515390746074
"saddle-surface_area-rep2-n240-r8","geodesic",8,1,0,1135,1.43338740876686e-09,8,8,9,12,15,0.134888599855259,1.15381388707181,4.19128335051803,8.56755943112981,21.6708525031335,0.00392274463240382,0.0435434303680983,0.240948773880301,0.654636134013491,0.973607862960086
"saddle-surface_area-rep3-n240-r1","ambient",128,1,0,19310,2.22044604925031e-16,128,128,141,239,239,0.00234954561953968,0.248332337620679,0.899660124024227,1.48666606021685,1.73570114076022,0.00173566352310935,0.192633820026831,0.721234736297466,1.24840333012736,1.62996688802006
"saddle-surface_area-rep3-n240-r1","ambient",16,1,0,2224,4.44089209850063e-16,16,16,18,24,28,0.00234954561953968,0.078987435088225,0.268483370710495,0.444683844167443,0.67248552646735,0.00173566352310935,0.0596621106721326,0.208126285930826,0.385919392198295,0.669782653470193
"saddle-surface_area-rep3-n240-r1","ambient",239,1,0,28680,0,239,239,239,239,239,0.00234954561953968,0.305260100992719,1.14715858245043,1.88992621055179,2.41083156018849,0.00173566352310935,0.239828273245341,0.938791849256573,1.67365123528653,1.98392696377909
"saddle-surface_area-rep3-n240-r1","ambient",32,1,0,4469,4.44089209850063e-16,32,32,35.5,47.05,57,0.00234954561953968,0.116169000665997,0.389438052305874,0.65412636735979,0.855098943162396,0.00173566352310935,0.0903973946126393,0.306053786474638,0.546117096802919,0.821391662804445
"saddle-surface_area-rep3-n240-r1","ambient",4,1,0,586,8.88178419700125e-16,4,4,5,7,9,0.00234954561953968,0.0437606529647889,0.134930339641381,0.238339458154872,0.355193816910327,0.00173566352310935,0.0341033334029249,0.107457267158683,0.203009153658454,0.317850667969225
"saddle-surface_area-rep3-n240-r1","ambient",64,1,0,9429,4.44089209850063e-16,64,64,70,115.05,134,0.00234954561953968,0.166651607492103,0.590305108389505,1.05979357031469,1.40850868133633,0.00173566352310935,0.132351266704906,0.466293825753482,0.793192063178915,1.02493967704246
"saddle-surface_area-rep3-n240-r1","ambient",8,1,0,1112,4.44089209850063e-16,8,8,9,12,17,0.00234954561953968,0.0584527570649556,0.182588515992997,0.311574258526061,0.48598382618052,0.00173566352310935,0.0439201355989526,0.146277377345283,0.26710884253564,0.40728128566607
"saddle-surface_area-rep3-n240-r1","geodesic",128,1,0,19078,1.783547332046e-08,128,128,141,239,239,0.0023495456308809,0.246782496624219,0.912084198536997,1.56852541331231,1.90863084318076,0.00173566352310935,0.190302357208379,0.71594819825918,1.18181209299157,1.48715093163071
"saddle-surface_area-rep3-n240-r1","geodesic",16,1,0,2226,4.44089209850063e-16,16,16,18,24,28,0.0023495456308809,0.0791370886103297,0.269060925327852,0.446129726684721,0.675471464208474,0.00173566352310935,0.0597440981934875,0.208270130701514,0.385602154041747,0.669782653470193
"saddle-surface_area-rep3-n240-r1","geodesic",239,1,0,28680,2.09672927908855e-08,239,239,239,239,239,0.0023495456308809,0.305799258687478,1.19094974014552,2.13765985085085,2.82951795616334,0.00173566352310935,0.239828273245341,0.938791849256573,1.67365123528653,1.98392696377909
"saddle-surface_area-rep3-n240-r1","geodesic",32,1,0,4466,4.61325255773914e-10,32,32,36,48,55,0.0023495456308809,0.116134154710831,0.390739060409635,0.659389287025663,0.855221386714496,0.00173566352310935,0.0902286214791292,0.305826962129648,0.545189064725887,0.821391662804445
"saddle-surface_area-rep3-n240-r1","geodesic",4,1,0,586,4.44089209850063e-16,4,4,5,7,9,0.0023495456308809,0.0437622109198431,0.135029074908602,0.238340109078649,0.355303154065215,0.00173566352310935,0.0341033334029249,0.107173434571819,0.203009153658454,0.317850667969225
"saddle-surface_area-rep3-n240-r1","geodesic",64,1,0,9380,1.72184559943389e-08,64,64,70,114.05,136,0.0023495456308809,0.166241873440097,0.593163315625535,1.06931759972994,1.44630261036736,0.00173566352310935,0.132051778929683,0.46489994960902,0.788902396526743,1.07859890833201
"saddle-surface_area-rep3-n240-r1","geodesic",8,1,0,1112,4.44089209850063e-16,8,8,9,12,17,0.0023495456308809,0.0584580714879483,0.182644767520228,0.311601986126395,0.486860367288684,0.00173566352310935,0.0439201355989526,0.146277377345283,0.266538474933396,0.40728128566607
