"case","surface","sampling","replicate","n","radius","regime","k","start","initialization","initial_raw_stress","raw_stress","normalized_stress","iterations","converged","termination","backend_stress","warnings","error","selected","initialization_description"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",128,3,"random",135024119.563097,6716.90502627334,2.02689905682441e-05,430,TRUE,"stress_tolerance",0.00450210956866338,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",16,1,"supplied",109264.661299544,54187.3071871488,0.0001539907717004,85,TRUE,"stress_tolerance",0.0124093018216339,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",16,2,"random",143881271.210307,54188.7496267935,0.000153994870859512,430,TRUE,"stress_tolerance",0.0124094669853107,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",16,3,"random",140896859.560148,54194.9871200035,0.000154012596715303,286,TRUE,"stress_tolerance",0.0124101811717359,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",239,1,"supplied",2.31744374843075e-22,2.1649911905006e-20,6.54845576300241e-29,1,TRUE,"stress_tolerance",8.04296574326896e-15,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",239,2,"random",137533688.374458,5624.69781662324,1.70130414359316e-05,643,TRUE,"stress_tolerance",0.00412468682883163,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",239,3,"random",134660425.802736,5178.54419994591,1.56635591677661e-05,571,TRUE,"stress_tolerance",0.0039577214616205,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",32,1,"supplied",109798.648465933,38506.7760326203,0.000112939835503194,53,TRUE,"stress_tolerance",0.0106273155360702,"","",FALSE,"classical"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",32,2,"random",140577285.15739,38420.7136876734,0.000112687415849232,696,TRUE,"stress_tolerance",0.0106154329091769,"","",TRUE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",32,3,"random",137696170.666869,38434.8977114072,0.000112729017392449,808,TRUE,"stress_tolerance",0.0106173922124245,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",4,1,"supplied",1247627.65868718,451744.909826959,0.000845198909023178,176,TRUE,"stress_tolerance",0.0290723048453881,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",4,2,"random",205072684.259604,455080.791210839,0.000851440226290851,463,TRUE,"stress_tolerance",0.029179448697514,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",4,3,"random",200759616.005718,475909.948081608,0.000890410849490103,410,TRUE,"stress_tolerance",0.029839752838958,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r16","paraboloid","disk",1,240,16,"ambient",64,1,"supplied",65789.3247652503,11973.7088664434,3.58707097449715e-05,30,TRUE,"stress_tolerance",0.00598921612107767,"","",TRUE,"classical"
