surface,sampling,regime,radius,method,min,median,max
paraboloid,disk,ambient,64,stress_fixed_uniform,0.999904838678372,1.0000001169109,1.00714947594062
paraboloid,disk,ambient,64,stress_primary,1.0,1.00196922730178,1.19362483740548
paraboloid,disk,ambient,64,stress_uniform,1.0,1.00196696069069,1.18385969737141
paraboloid,disk,geodesic,1,classical,1.06472569223992,1.16954027309204,1.29001401227034
paraboloid,disk,geodesic,1,classical_fixed_primary,0.996372825688743,0.999981685492524,1.00098805744622
paraboloid,disk,geodesic,1,classical_fixed_uniform,0.996372823481597,0.999991761864452,1.00112415866813
paraboloid,disk,geodesic,1,classical_primary,8.88374530257216e-05,1.18857466248106,1.51140119839704
paraboloid,disk,geodesic,1,classical_uniform,2.39288245107066e-05,1.18624317627676,1.48726612765891
paraboloid,disk,geodesic,1,full_classical,1.06472569223992,1.17067202991654,1.18331972930569
paraboloid,disk,geodesic,1,full_classical_fixed_primary,0.996372825688743,0.999991541342483,1.00026770062011
paraboloid,disk,geodesic,1,full_classical_fixed_uniform,0.996372823481597,0.999993529994547,1.00029164385028
paraboloid,disk,geodesic,1,full_classical_primary,8.88374530257216e-05,1.18263043617995,1.22513497573937
paraboloid,disk,geodesic,1,full_classical_uniform,2.39288245107066e-05,1.1802483363404,1.22776060347722
paraboloid,disk,geodesic,1,original,0.8772418539809,0.993119893290937,0.998950478877476
paraboloid,disk,geodesic,1,stress,0.996372754935785,1.07234255105739,1.19495922941293
paraboloid,disk,geodesic,1,stress_fixed_primary,0.996372826881688,0.999990879526498,1.00082260238761
paraboloid,disk,geodesic,1,stress_fixed_uniform,0.996372823437316,0.999993060310475,1.00104042339527
paraboloid,disk,geodesic,1,stress_primary,7.80367834879501e-05,1.10879854630162,1.33606671148841
paraboloid,disk,geodesic,1,stress_uniform,2.95491812104464e-06,1.10678963708253,1.33685266153219
paraboloid,disk,geodesic,2,classical,1.07100569395604,1.20607892109361,1.30658087112834
paraboloid,disk,geodesic,2,classical_fixed_primary,0.994426383167256,0.999959827875139,1.00128412290977
paraboloid,disk,geodesic,2,classical_fixed_uniform,0.994426382019109,0.99997349220915,1.00110132102374
paraboloid,disk,geodesic,2,classical_primary,5.1884895589792e-08,1.18207271690961,1.50126038670268
paraboloid,disk,geodesic,2,classical_uniform,1.73934933265289e-08,1.19264525989498,1.49975385478278
paraboloid,disk,geodesic,2,full_classical,1.07100569395604,1.21043344064718,1.23382532346132
paraboloid,disk,geodesic,2,full_classical_fixed_primary,0.994426383167256,0.999961994499662,1.00013880770007
paraboloid,disk,geodesic,2,full_classical_fixed_uniform,0.994426382019109,0.999972903699658,1.00012641378955
paraboloid,disk,geodesic,2,full_classical_primary,5.1884895589792e-08,1.17582194862654,1.28502747241799
paraboloid,disk,geodesic,2,full_classical_uniform,1.73934933265289e-08,1.18607724569721,1.28606742214123
paraboloid,disk,geodesic,2,original,0.865387118475932,0.987793644483408,0.997878138522834
paraboloid,disk,geodesic,2,stress,0.994426354179229,1.11789701021497,1.2423946341865
