"case","surface","sampling","replicate","n","radius","regime","k","method","path_rel","edge_rel","raw_stress","raw_target_rmse","stress1","graph_reference","path_reference","chord_reference","procrustes","edge_scale","sigma1","sigma2","sigma3","sigma2_sigma1","sigma3_sigma2","sigma3_sigma1","max_edge_relative","package_score_difference","independent_path_difference"
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",128,"stress_fixed_perturbed",1.84653401162108e-05,1.33899925324036e-05,1517.62072991827,0.000135294434491867,0.000115489165221207,0.00329138863432746,0.00329137383656274,0.00330170831035726,0.000469662109422368,1.00000000584272,18572.1490037866,522.379410875464,457.419308181295,0.0281270310058873,0.875645744564661,0.0246293150075435,0.000676152468982116,2.96122718360103e-18,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",128,"stress_fixed_random",0.00593071883193261,0.00874791927086406,1095653762.21394,0.114956881463596,0.0663508681134831,0.00329138863432746,0.00716978072239522,0.114924447653797,0.331423542627285,0.999809182806487,15858.5133461639,5523.55909674214,509.977428084103,0.348302452832267,0.092327685673698,0.0321579593844756,9.64054380197995,4.16333634234434e-17,1.11022302462516e-16
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",128,"stress_fixed_original",6.8452041640905e-17,1.25929775492336e-16,1587.70541361272,0.00013838316824404,0.000116301847732043,0.00329138863432746,0.00329138863432323,0.00330193279166617,8.86882203722053e-15,1,18572.0527823238,522.399574605952,457.892316150689,0.028128262434358,0.876517398575753,0.0246549114154196,3.8968828164343e-14,0,1.11022302462516e-16
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",128,"stress_fixed_extended",1.01201755818184e-05,7.24958967339459e-06,1545.36361064415,0.000136525459651151,0.000115651262416507,0.00329138863432746,0.00329136978939492,0.00330180398945903,0.000261447653388367,1.0000000047729,18572.1051953083,522.38737310538,457.619958830193,0.0281275260726687,0.876016501145173,0.0246401769760489,0.000355519758225231,1.1028368973251e-18,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",239,"classical_perturbed",6.07019022929094e-08,6.07019022929095e-08,23.6231335495973,1.6881056830335e-05,6.0701902292909e-08,0.00330193279166616,0.0033019327263282,0.0033019327263282,2.73757239935365e-06,0.999983119052301,18571.7392729522,522.390399190083,457.884811867485,0.0281282432147262,0.876518428702733,0.0246549235447401,5.93473710061021e-05,1.43531056401221e-18,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",239,"classical_random",0.00133826489168037,0.00133826489168037,35669696874.7206,0.655964880863679,0.00133826369329726,0.00330193279166616,0.00391970252709759,0.00391970252709759,0.0368632069528258,0.344035280713338,6389.62813583606,170.247673305173,160.683744697669,0.0266443789350344,0.943823440157324,0.0251475893873195,0.514633013793015,3.25260651745651e-18,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",239,"classical_original",8.12812337312288e-17,9.68058856615021e-17,7.76858221985971e-22,9.68058856615021e-17,9.68058856615021e-17,0.00330193279166616,0.00330193279166616,0.00330193279166617,8.86882203722053e-15,1,18572.0527823238,522.399574605952,457.892316150689,0.028128262434358,0.876517398575753,0.0246549114154196,3.8968828164343e-14,0,4.44089209850063e-16
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",239,"classical_extended",1.02623086028117e-15,1.02622415937145e-15,8.56754277668276e-20,1.01662086787048e-15,1.02622415937145e-15,0.00330193279166616,0.00330193279166618,0.00330193279166619,5.55728975905462e-15,1,18572.0527823238,522.399574605951,457.89231615069,0.028128262434358,0.876517398575756,0.0246549114154196,1.01807451358127e-12,1.45040073780818e-18,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",239,"classical_fixed_perturbed",5.58471550502997e-08,5.5847155050299e-08,0.000258560818196526,5.58485929592465e-08,5.58471550502986e-08,0.00330193279166616,0.0033019327575545,0.0033019327575545,2.54218744198225e-06,1.00000000040075,18572.0527943245,522.399230809358,457.892523939126,0.0281282439046803,0.87651837317928,0.0246549225877204,5.19974402255485e-05,8.70769722112122e-19,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",239,"classical_fixed_random",0.000357543435190265,0.000357543435190265,10599.5009073256,0.000357580302574098,0.000357543412336573,0.00330193279166616,0.00334944809521246,0.00334944809521246,0.0134120401234464,0.999994735911127,18571.6383051853,518.17559040699,475.251144090423,0.0279014474593937,0.917162353628328,0.0255901572214946,0.346183555327119,2.92734586571086e-18,2.77555756156289e-17
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",239,"classical_fixed_original",8.12812337312288e-17,9.68058856615021e-17,7.76858221985971e-22,9.68058856615021e-17,9.68058856615021e-17,0.00330193279166616,0.00330193279166616,0.00330193279166617,8.86882203722053e-15,1,18572.0527823238,522.399574605952,457.892316150689,0.028128262434358,0.876517398575753,0.0246549114154196,3.8968828164343e-14,0,4.44089209850063e-16
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",239,"classical_fixed_extended",1.02623086028117e-15,1.02622415937145e-15,8.56754277668276e-20,1.01662086787048e-15,1.02622415937145e-15,0.00330193279166616,0.00330193279166618,0.00330193279166619,5.55728975905462e-15,1,18572.0527823238,522.399574605951,457.89231615069,0.028128262434358,0.876517398575756,0.0246549114154196,1.01807451358127e-12,1.45040073780818e-18,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",239,"stress_perturbed",6.07019022357772e-08,6.07019022357593e-08,23.6231334159248,1.68810567825739e-05,6.07019022357589e-08,0.00330193279166616,0.00330193272632828,0.00330193272632828,2.73757239935163e-06,0.999983119052348,18571.7392729531,522.390399190108,457.884811867507,0.0281282432147262,0.876518428702733,0.0246549235447401,5.93473708986325e-05,7.18403053279854e-19,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",239,"stress_random",0.00133826489168037,0.00133826489168037,35669696874.7206,0.655964880863679,0.00133826369329726,0.00330193279166616,0.00391970252709759,0.00391970252709759,0.0368632069528258,0.344035280713338,6389.62813583606,170.247673305173,160.683744697669,0.0266443789350344,0.943823440157324,0.0251475893873195,0.514633013793015,3.25260651745651e-18,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",239,"stress_original",8.12812337312288e-17,9.68058856615021e-17,7.76858221985971e-22,9.68058856615021e-17,9.68058856615021e-17,0.00330193279166616,0.00330193279166616,0.00330193279166617,8.86882203722053e-15,1,18572.0527823238,522.399574605952,457.892316150689,0.028128262434358,0.876517398575753,0.0246549114154196,3.8968828164343e-14,0,4.44089209850063e-16
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",239,"stress_extended",8.70824720295641e-15,8.70824488257053e-15,6.19959341773322e-18,8.64793633216663e-15,8.70824488257053e-15,0.00330193279166616,0.00330193279166639,0.00330193279166639,9.69754437737357e-15,1,18572.0527823238,522.399574605952,457.89231615069,0.028128262434358,0.876517398575754,0.0246549114154196,2.15261142244572e-12,6.22390085936892e-18,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",239,"stress_fixed_perturbed",5.5847155039103e-08,5.58471550391012e-08,0.00025856081805439,5.58485929438959e-08,5.58471550391008e-08,0.00330193279166616,0.00330193275755459,0.00330193275755459,2.54218744199451e-06,1.00000000040075,18572.0527943245,522.399230809358,457.892523939126,0.0281282439046803,0.87651837317928,0.0246549225877204,5.19974402254375e-05,2.97282094706658e-19,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",239,"stress_fixed_random",0.000357543435190265,0.000357543435190265,10599.5009073256,0.000357580302574098,0.000357543412336573,0.00330193279166616,0.00334944809521246,0.00334944809521246,0.0134120401234464,0.999994735911127,18571.6383051853,518.17559040699,475.251144090423,0.0279014474593937,0.917162353628328,0.0255901572214946,0.346183555327119,2.92734586571086e-18,2.77555756156289e-17
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",239,"stress_fixed_original",8.12812337312288e-17,9.68058856615021e-17,7.76858221985971e-22,9.68058856615021e-17,9.68058856615021e-17,0.00330193279166616,0.00330193279166616,0.00330193279166617,8.86882203722053e-15,1,18572.0527823238,522.399574605952,457.892316150689,0.028128262434358,0.876517398575753,0.0246549114154196,3.8968828164343e-14,0,4.44089209850063e-16
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",239,"stress_fixed_extended",8.70824720295641e-15,8.70824488257053e-15,6.19959341773322e-18,8.64793633216663e-15,8.70824488257053e-15,0.00330193279166616,0.00330193279166639,0.00330193279166639,9.69754437737357e-15,1,18572.0527823238,522.399574605952,457.89231615069,0.028128262434358,0.876517398575754,0.0246549114154196,2.15261142244572e-12,6.22390085936892e-18,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",32,"classical_perturbed",0.000397884126046244,0.000339715028780911,143279.085837317,0.00131242611875057,0.00131212325303321,0.00345888514317352,0.00347020760327278,0.00333143578308972,0.0100404878214506,1.00183386449667,18603.9175634698,526.105692917393,480.668361090269,0.0282792960742012,0.913634593887091,0.0258369431841656,0.00610447056093233,1.06793913989822e-17,0
"paraboloid-disk-rep1-n240-r64","paraboloid","disk",1,240,64,"ambient",32,"classical_random",0.0153106356171868,0.0363851311945195,49649440457.2888,0.772574986534775,0.426053270650356,0.00345888514317352,0.0229068866924202,0.688832744928392,0.706284183262325,0.717158344905998,4063.47901801206,2200.44705569798,1454.58351221659,0.541518006108588,0.661039995690874,0.357965060424552,0.602056403689018,1.45716771982052e-16,5.55111512312578e-17
