"case","surface","sampling","replicate","n","radius","regime","k","method","path_rel","edge_rel","raw_stress","raw_target_rmse","stress1","graph_reference","path_reference","chord_reference","procrustes","edge_scale","sigma1","sigma2","sigma3","sigma2_sigma1","sigma3_sigma2","sigma3_sigma1","max_edge_relative","package_score_difference","independent_path_difference"
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",128,"classical",0.000814684638001832,0.00189077846755077,56181.2952494038,0.000818339177385131,0.000814342409356283,0.00339104197137246,0.00314203975338623,0.00315198982114802,0.00381379324530547,1.00025776142914,18683.0843292027,556.849832018618,492.092576972108,0.029805026954154,0.883707866424669,0.0263389367783851,0.328650590051246,6.28837260041593e-18,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",128,"stress",0.000336828407366834,0.000774579436849297,9837.08848672929,0.000342429174130062,0.000342429174130059,0.00339104197137246,0.00329339938283189,0.00330269806264586,0.0018383697680908,1.00008366558166,18682.5237140571,540.573293121555,474.003770981176,0.0289347039722913,0.876853845745927,0.0253715064536236,0.150481394433021,8.78203759713259e-18,2.77555756156289e-17
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",128,"classical_primary",7.68281998384417e-06,6.96840652911571e-06,1610.54535284209,0.000138555557118051,0.000117451640176316,0.00339104197137246,0.00339104646652068,0.00340210770372407,0.000220127432984778,1.00014535038081,18684.4789410375,530.457044716915,462.469728654918,0.0283902508810054,0.871832570159796,0.0247515453930683,0.000272423321250548,2.48011246956059e-18,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",128,"classical_uniform",7.56760079944478e-06,6.95381345924463e-06,1609.81978998772,0.000138524343439295,0.0001174370218423,0.00339104197137246,0.00339104324802241,0.00340210405842879,0.000217230489039282,1.00014529811014,18684.4784514566,530.4554170898,462.464555070664,0.0283901645137143,0.871825492155118,0.0247512691495337,0.00028381148800849,2.01678544741249e-18,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",128,"classical_fixed_primary",7.6609836619494e-06,6.95344310319963e-06,1590.15072979025,0.000137675485248761,0.000117451848562171,0.00339104197137246,0.00339104732818794,0.00340210853136806,0.000219578050870099,1.00000000261602,18681.7637163032,530.378824198741,462.401310012668,0.0283901901476193,0.871832148863092,0.0247514804830307,0.000272057888506261,2.11927643403026e-18,3.46944695195361e-18
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",128,"classical_fixed_uniform",7.54629455479337e-06,6.94099694286121e-06,1589.67278614903,0.000137654793478285,0.000117437195942381,0.00339104197137246,0.00339104435779109,0.0034021051652817,0.000216730567815981,1.00000000258063,18681.7641689422,530.377306959001,462.396632377965,0.0283901082447414,0.87182582344857,0.0247512294982657,0.000283419944282048,1.67797226851077e-18,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",128,"stress_primary",7.54946397817046e-06,6.85171965914575e-06,1157.54183079223,0.00011746427880377,0.000117452471915189,0.00339104197137246,0.00339104821385073,0.00340210917253761,0.000216360473420091,1.00007014935633,18683.0748922697,530.409547206083,462.430022244487,0.0283898421573819,0.871835781765851,0.0247512802314902,0.000270206465262435,2.53093444639585e-18,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",128,"stress_uniform",7.4323699764444e-06,6.83650977897957e-06,1157.2621459852,0.000117450087109787,0.000117438165093145,0.00339104197137246,0.0033910382380615,0.0034020987388359,0.000213488238963934,1.00007012012783,18683.0749042603,530.407727735416,462.425579888309,0.0283897447531224,0.871830397084602,0.0247510424412452,0.000275545226648743,3.91329221631487e-18,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",128,"stress_fixed_primary",7.54032412687317e-06,6.84336599534416e-06,1589.86783032918,0.000137663237965437,0.000117452259860301,0.00339104197137246,0.00339104636542334,0.00340210728286558,0.000216171542821492,1.00000000087301,18681.7644700109,530.371962710821,462.396983736215,0.0283898217195815,0.871835270802825,0.0247512479069353,0.000269682913774716,4.72390274683723e-18,0
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",128,"stress_fixed_uniform",7.41743763954509e-06,6.81884879602687e-06,1589.40215059863,0.000137643075385462,0.000117439090218716,0.00339104197137246,0.00339104399344818,0.00340210457516863,0.000213100041144064,1.00000000131227,18681.764956845,530.369698177304,462.392849599783,0.0283896997635106,0.871831198480732,0.0247510259693296,0.00027459910312233,1.83636742964732e-18,2.77555756156289e-17
"paraboloid-disk-rep2-n240-r64","paraboloid","disk",2,240,64,"ambient",16,"original",0,5.66444774603455e-17,20448473.4539778,0.015398851896327,0.00699284373102618,0.015354243700713,0.015354243700713,0.0034021043265089,5.15532024253648e-16,1,18681.7940647537,529.968403091891,462.431972378149,0.0283681749865643,0.872565174980758,0.0247530815710362,2.22044604925031e-16,0,1.11022302462516e-16
