"case","surface","radius","regime","k","method","edge_scale","vertex","x","y","z","x_r2","y_r2","z_r2"
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,30,-0.819731059820947,-0.153650252873087,0.695567410643137,-0.819731059820947,-0.153650252873087,0.695567410643137
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,31,-0.450524246369218,-0.734611492802604,0.742626141924222,-0.450524246369218,-0.734611492802604,0.742626141924222
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,32,-0.815282151032295,0.00462494607883684,0.664706375918078,-0.815282151032295,0.00462494607883684,0.664706375918078
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,33,-0.873684861896419,-0.0105789876875343,0.763437152887457,-0.873684861896419,-0.0105789876875343,0.763437152887457
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,34,0.728832713363064,-0.264298824747687,0.601050992831175,0.728832713363064,-0.264298824747687,0.601050992831175
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,35,0.595437098076968,0.736501903095459,0.896980391029553,0.595437098076968,0.736501903095459,0.896980391029553
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,36,0.474680398970894,-0.255394265885317,0.290547712214267,0.474680398970894,-0.255394265885317,0.290547712214267
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,37,-0.175742916821985,0.379073581600372,0.174582353080433,-0.175742916821985,0.379073581600372,0.174582353080433
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,38,0.83788119244653,0.00617667804935106,0.702083044007344,0.83788119244653,0.00617667804935106,0.702083044007344
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,39,0.320851674527353,0.0628863547014566,0.106900490654644,0.320851674527353,0.0628863547014566,0.106900490654644
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,40,-0.134585166223217,0.469806640650601,0.238831446566734,-0.134585166223217,0.469806640650601,0.238831446566734
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,41,-0.314928977870313,0.163136300697814,0.125793713707808,-0.314928977870313,0.163136300697814,0.125793713707808
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,42,-0.547139859063786,0.108584251472479,0.311152565044179,-0.547139859063786,0.108584251472479,0.311152565044179
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,43,0.642542219411697,0.160381765241642,0.438582814348534,0.642542219411697,0.160381765241642,0.438582814348534
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,44,0.339264594740664,0.544830916406656,0.411941192717063,0.339264594740664,0.544830916406656,0.411941192717063
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,45,0.330959384430896,-0.152789338476413,0.132878696094938,0.330959384430896,-0.152789338476413,0.132878696094938
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,46,0.557540262185885,0.510365638322554,0.571324228738694,0.557540262185885,0.510365638322554,0.571324228738694
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,47,0.088736809357609,0.294347528930048,0.0945146891221941,0.088736809357609,0.294347528930048,0.0945146891221941
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,48,-0.161285975130786,0.394246545348794,0.181443504293347,-0.161285975130786,0.394246545348794,0.181443504293347
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,49,0.28214772499682,0.652260445307452,0.505051027233557,0.28214772499682,0.652260445307452,0.505051027233557
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,50,0.949516160603241,0.175352376582825,0.932329395219966,0.949516160603241,0.175352376582825,0.932329395219966
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,51,-0.145106342570927,0.213069530646089,0.066454475544056,-0.145106342570927,0.213069530646089,0.066454475544056
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,52,-0.265567177534857,0.179397641090542,0.102709439412681,-0.265567177534857,0.179397641090542,0.102709439412681
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,53,0.0620558715570962,-0.0548796439723898,0.00686270651724707,0.0620558715570962,-0.0548796439723898,0.00686270651724707
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,54,-0.101519437936647,-0.570842871170902,0.336167779845612,-0.101519437936647,-0.570842871170902,0.336167779845612
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,55,0.306261395308758,-0.0929674460512425,0.102438988281758,0.306261395308758,-0.0929674460512425,0.102438988281758
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,56,-0.671551648059798,0.371969344717034,0.589342809421051,-0.671551648059798,0.371969344717034,0.589342809421051
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,57,-0.365644854807627,-0.192436686371326,0.170728038108867,-0.365644854807627,-0.192436686371326,0.170728038108867
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,58,-0.788082726004927,0.249184639565964,0.683167367622976,-0.788082726004927,0.249184639565964,0.683167367622976
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,59,0.187751950387461,-0.183144702316262,0.0687927768608078,0.187751950387461,-0.183144702316262,0.0687927768608078
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,60,-0.313635140028684,-0.21751035214831,0.145677754352494,-0.313635140028684,-0.21751035214831,0.145677754352494
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,61,-0.487804821367705,-0.252039912630362,0.301477661308299,-0.487804821367705,-0.252039912630362,0.301477661308299
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,62,-0.292277075402228,-0.245953601709465,0.145919062999538,-0.292277075402228,-0.245953601709465,0.145919062999538
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,63,0.223352235529807,-0.0341480824898187,0.0510523126538939,0.223352235529807,-0.0341480824898187,0.0510523126538939
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,64,-0.30021858814127,-0.202832867482674,0.131272372796782,-0.30021858814127,-0.202832867482674,0.131272372796782
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,65,0.731939325078885,-0.1077659791457,0.547348681858165,0.731939325078885,-0.1077659791457,0.547348681858165
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,66,-0.120270789258613,-0.588263644556574,0.360519178255873,-0.120270789258613,-0.588263644556574,0.360519178255873
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,67,-0.702845885911864,0.617028067553123,0.874715975491575,-0.702845885911864,0.617028067553123,0.874715975491575
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,68,0.287141057772338,0.722092419283218,0.603867449044908,0.287141057772338,0.722092419283218,0.603867449044908
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,69,0.619477444020069,0.436227283514612,0.574046546532175,0.619477444020069,0.436227283514612,0.574046546532175
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,70,-0.291546950220364,-0.390510818394841,0.237498323466203,-0.291546950220364,-0.390510818394841,0.237498323466203
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,71,0.403843905170384,-0.0257159834936405,0.163751211550312,0.403843905170384,-0.0257159834936405,0.163751211550312
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,72,-0.153091176985026,0.300832714673422,0.113937230688441,-0.153091176985026,0.300832714673422,0.113937230688441
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,73,0.280471091094877,0.871946004289645,0.838953867336629,0.280471091094877,0.871946004289645,0.838953867336629
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,74,-0.691551695206425,0.40281682053354,0.64050513804763,-0.691551695206425,0.40281682053354,0.64050513804763
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,75,0.501807890854672,0.338908860189527,0.366670374838979,0.501807890854672,0.338908860189527,0.366670374838979
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,76,0.320685278546818,0.369986459410091,0.239729028023465,0.320685278546818,0.369986459410091,0.239729028023465
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,77,-0.246643032016655,0.93978610489588,0.944030708197739,-0.246643032016655,0.93978610489588,0.944030708197739
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,78,-0.266089990703388,0.667085967088012,0.515807570638277,-0.266089990703388,0.667085967088012,0.515807570638277
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,79,0.258702235083714,-0.86063527704614,0.807619926533596,0.258702235083714,-0.86063527704614,0.807619926533596
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,80,0.0705144160518227,-0.37304272795234,0.144133159749253,0.0705144160518227,-0.37304272795234,0.144133159749253
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,81,0.956690213627668,0.285476166922171,0.996752806731528,0.956690213627668,0.285476166922171,0.996752806731528
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,82,-0.206559900437111,-0.104907162177062,0.0536725051446336,-0.206559900437111,-0.104907162177062,0.0536725051446336
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,83,0.0892134874310168,0.985265036662914,0.978706238809978,0.0892134874310168,0.985265036662914,0.978706238809978
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,84,-0.0314762822200644,0.803990067005033,0.647390784185154,-0.0314762822200644,0.803990067005033,0.647390784185154
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,85,0.00385039600875565,0.693460417437814,0.480902176102451,0.00385039600875565,0.693460417437814,0.480902176102451
"paraboloid-disk-rep1-n240-r1","paraboloid",1,"ambient",239,"original",1,86,-0.517235746363347,0.0662902396000908,0.271927213182287,-0.517235746363347,0.0662902396000908,0.271927213182287
