surface,sampling,regime,method,comparison,k240,k480,path_rel_n240,path_rel_n480,path_rel_difference,graph_reference_n240,graph_reference_n480,graph_reference_difference,path_reference_n240,path_reference_n480,path_reference_difference,procrustes_n240,procrustes_n480,procrustes_difference,sigma2_sigma1_n240,sigma2_sigma1_n480,sigma2_sigma1_difference,sigma3_sigma2_n240,sigma3_sigma2_n480,sigma3_sigma2_difference
paraboloid,surface_area,geodesic,stress_primary,fixed k=8,8,8,0.0034859218421414,0.003926563424324,0.00044064158218259973,0.0474419826141005,0.0599426679901893,0.012500685376088796,0.0475673341977446,0.0668087822443384,0.019241448046593793,0.0890995132237909,0.0744794320481398,-0.014620081175651098,0.0865188250762591,0.0664783185231639,-0.020040506553095208,0.51991795021121,0.686467566488162,0.16654961627695197
paraboloid,surface_area,geodesic,stress_fixed_primary,fixed k=8,8,8,0.0060998584927589,0.0077902117806595,0.0016903532879005995,0.0474419826141005,0.0599426679901893,0.012500685376088796,0.0625863819004021,0.0934682438647787,0.030881861964376603,0.0828634693477152,0.0703443134687379,-0.012519155878977298,0.0808919569087478,0.0625958992886466,-0.018296057620101197,0.50716292338902,0.641519927833357,0.13435700444433696
paraboloid,surface_area,geodesic,classical,fixed k/n from k=8,8,16,0.0256943064790883,0.0173532844332622,-0.0083410220458261,0.0474419826141005,0.014993181930835,-0.0324488006832655,0.0349763519750288,0.0330791707358427,-0.0018971812391860993,0.0908574106237347,0.0559874344449624,-0.0348699761787723,0.0759604009123935,0.0603790159885808,-0.015581384923812704,0.752583207711154,0.709343028831676,-0.04324017887947795
paraboloid,surface_area,geodesic,stress,fixed k/n from k=8,8,16,0.0159387609243164,0.0104546736888372,-0.005484087235479201,0.0474419826141005,0.014993181930835,-0.0324488006832655,0.0267401838927504,0.0396441819422451,0.012903998049494703,0.0941974283579916,0.0499678225990428,-0.0442296057589488,0.0896807416739826,0.061517825187673,-0.0281629164863096,0.587656409302768,0.73607624511136,0.14841983580859208
paraboloid,surface_area,geodesic,stress_primary,fixed k/n from k=8,8,16,0.0034859218421414,0.003616773414062,0.00013085157192060026,0.0474419826141005,0.014993181930835,-0.0324488006832655,0.0475673341977446,0.0103659749544061,-0.037201359243338505,0.0890995132237909,0.0461768679989465,-0.042922645224844395,0.0865188250762591,0.0563456310613337,-0.0301731940149254,0.51991795021121,0.68786027074079,0.16794232052958002
paraboloid,surface_area,geodesic,stress_fixed_primary,fixed k/n from k=8,8,16,0.0060998584927589,0.0035625190535137,-0.0025373394392452,0.0474419826141005,0.014993181930835,-0.0324488006832655,0.0625863819004021,0.0117164249704315,-0.050869956929970594,0.0828634693477152,0.0443547304866684,-0.0385087388610468,0.0808919569087478,0.0550709713297522,-0.0258209855789956,0.50716292338902,0.695728534909646,0.188565611520626
paraboloid,surface_area,geodesic,classical,fixed k=64,64,64,0.0031729736613339,0.0049323177971535,0.0017593441358195998,0.0002402490081477,0.0009888292833665,0.0007485802752188,0.0049385434383191,0.0148832085465464,0.0099446651082273,0.0193563600605225,0.0207840048161324,0.0014276447556098998,0.0486195890517051,0.0478055807870356,-0.0008140082646695065,0.875303774947591,0.982061807649906,0.10675803270231499
paraboloid,surface_area,geodesic,stress,fixed k=64,64,64,0.0022684504313912,0.0032937191274675,0.0010252686960763,0.0002402490081477,0.0009888292833665,0.0007485802752188,0.0023117583343343,0.0038886078204588,0.0015768494861245,0.0146715860513903,0.0152442363575735,0.0005726503061831995,0.0453417003654312,0.0445883416405591,-0.0007533587248720955,0.861996611246533,0.957499974708445,0.0955033634619119
paraboloid,surface_area,geodesic,stress_primary,fixed k=64,64,64,0.0022343224077903,0.004117578114127,0.0018832557063366995,0.0002402490081477,0.0009888292833665,0.0007485802752188,0.0023306270201549,0.0059381785965039,0.003607551576349,0.0148138132665777,0.0154363173181377,0.0006225040515600005,0.0453433276036206,0.0447738481317589,-0.0005694794718617002,0.857162784708873,0.946283587499464,0.08912080279059098
paraboloid,surface_area,geodesic,stress_fixed_primary,fixed k=64,64,64,0.0022467904394154,0.0046755246462662,0.0024287342068507996,0.0002402490081477,0.0009888292833665,0.0007485802752188,0.002421034088437,0.0089747284219826,0.0065536943335456,0.0149713088817535,0.0163143539501497,0.0013430450683961995,0.0454163423515529,0.0452206019737277,-0.00019574037782520148,0.858047981242687,0.946405088383539,0.08835710714085199
