"case","surface","sampling","replicate","n","radius","regime","k","angular_gap_min","angular_gap_q05","angular_gap_median","angular_gap_q95","angular_gap_max","radial_gap_min","radial_gap_q05","radial_gap_median","radial_gap_q95","radial_gap_max"
"saddle-disk-rep1-n240-r4","saddle","disk",1,240,4,"ambient",32,1.19982358592896e-05,0.0383696092356843,0.431042936153444,2.67690282298007,3.13942994470708,1.48035468677532e-05,0.015289644918215,0.160994820355056,0.506174690629958,0.909523827722312
"saddle-disk-rep1-n240-r4","saddle","disk",1,240,4,"ambient",4,1.19982358592896e-05,0.0122382666657525,0.138955504010082,0.504999799894276,2.65087770360886,0.000315985049014589,0.00796069618438346,0.073819278900665,0.271106951213629,0.614723685147044
"saddle-disk-rep1-n240-r4","saddle","disk",1,240,4,"ambient",64,1.19982358592896e-05,0.0627781555101889,0.884250775452765,3.02829345899398,3.14139308332409,1.48035468677532e-05,0.0171478025416112,0.190990020772712,0.558318566288903,0.910901021701933
"saddle-disk-rep1-n240-r4","saddle","disk",1,240,4,"ambient",8,1.19982358592896e-05,0.0189612715210214,0.203236725073391,0.763721093671264,2.65087770360886,0.000106553674735194,0.00859913725784403,0.0923498338469027,0.343694505697127,0.659188074161394
"saddle-disk-rep1-n240-r4","saddle","disk",1,240,4,"geodesic",128,1.19982358592896e-05,0.113697434118873,1.24461068292059,2.93671056382682,3.14142676971416,1.48035468677532e-05,0.0270816711814825,0.289555109410793,0.684669136367019,0.915927548686633
"saddle-disk-rep1-n240-r4","saddle","disk",1,240,4,"geodesic",16,1.19982358592896e-05,0.0258427052282064,0.281738003221285,1.01050276149196,3.13609251162863,9.3308442747353e-05,0.0110649048487835,0.122978401197361,0.433680309025884,0.76206920340076
"saddle-disk-rep1-n240-r4","saddle","disk",1,240,4,"geodesic",239,1.19982358592896e-05,0.159135816001698,1.57304693560022,2.98533756581357,3.14142676971416,1.48035468677532e-05,0.0204921833867578,0.230625219262326,0.648010211494774,0.915927548686633
"saddle-disk-rep1-n240-r4","saddle","disk",1,240,4,"geodesic",32,1.19982358592896e-05,0.0364575608992692,0.394128848925575,1.55420072893372,3.13609251162863,1.48035468677532e-05,0.0171625921858286,0.172917162326955,0.514158970462529,0.909523827722312
"saddle-disk-rep1-n240-r4","saddle","disk",1,240,4,"geodesic",4,1.19982358592896e-05,0.0122382666657525,0.138955504010082,0.496086599580162,2.65087770360886,0.000315985049014589,0.00796069618438346,0.0733515807418834,0.271106951213629,0.614723685147044
"saddle-disk-rep1-n240-r4","saddle","disk",1,240,4,"geodesic",64,1.19982358592896e-05,0.058472212391109,0.611412506811717,2.48108139692582,3.14139308332409,1.48035468677532e-05,0.0226431049394318,0.250066775520485,0.688010167145047,0.915927548686633
