"case","fit","edge_scale","profiled_uniform_energy","energy_after_halving","edge_relative_rmse","final_gradient","elapsed"
"paraboloid-surface_area-rep1-n240-r64","ambient-k239-classical_primary.rds",0.999999999999999,6.26895564421542e-27,1.56723891105386e-27,6.61622844457689e-16,1.07895422515009e-12,0.0160000000000053
"paraboloid-surface_area-rep1-n240-r64","ambient-k239-classical_uniform.rds",0.999999999999999,6.26895564421542e-27,1.56723891105386e-27,6.61622844457689e-16,1.07895422515009e-12,0.00400000000000489
"paraboloid-surface_area-rep1-n240-r64","ambient-k239-stress_primary.rds",1,1.03305911402553e-24,2.58264778506383e-25,8.49328075389974e-15,2.17807902619128e-11,0.0159999999999911
"paraboloid-surface_area-rep1-n240-r64","ambient-k239-stress_uniform.rds",1,1.03305911402553e-24,2.58264778506383e-25,8.49328075389974e-15,2.17807902619128e-11,0.00600000000000023
"paraboloid-surface_area-rep1-n240-r64","ambient-k32-classical_primary.rds",1.00260467207892,4.671572843439e-06,1.16789321085975e-06,0.000330999377130777,0.000482089898563797,0.938000000000002
"paraboloid-surface_area-rep1-n240-r64","ambient-k32-classical_uniform.rds",1.00261839301612,4.81592076714056e-06,1.20398019178514e-06,0.000336069683619845,0.000320468441022368,0.971000000000004
"paraboloid-surface_area-rep1-n240-r64","ambient-k32-stress_primary.rds",1.00251512051189,4.56502667603391e-06,1.14125666900848e-06,0.000327232225698027,0.000333773886688001,0.942999999999998
"paraboloid-surface_area-rep1-n240-r64","ambient-k32-stress_uniform.rds",1.00252475154574,4.7219822722527e-06,1.18049556806317e-06,0.000332806967830981,0.000526230586036926,0.981999999999999
"paraboloid-surface_area-rep1-n240-r64","ambient-k4-classical_primary.rds",1.18248342041578,2.54588117045085e-05,6.36470292612713e-06,0.00609543498369807,0.000477628697827719,0.102999999999994
"paraboloid-surface_area-rep1-n240-r64","ambient-k4-classical_uniform.rds",1.18197162292908,3.17424078189382e-06,7.93560195473456e-07,0.0021532456696912,0.000204058465336605,0.0970000000000084
"paraboloid-surface_area-rep1-n240-r64","ambient-k4-stress_primary.rds",1.19232965567776,7.73257621954116e-06,1.93314405488529e-06,0.00333155093821953,0.000254946630967644,0.183999999999997
"paraboloid-surface_area-rep1-n240-r64","ambient-k4-stress_uniform.rds",1.18664699825977,2.17081265894661e-06,5.42703164736652e-07,0.00177365981590067,0.00036506675463454,0.102999999999994
"paraboloid-surface_area-rep1-n240-r64","geodesic-k239-classical_primary.rds",0.988335922584797,0.0522199678015073,0.0130549919503768,0.00193080823942617,0.0186305879369671,9.29
"paraboloid-surface_area-rep1-n240-r64","geodesic-k239-classical_uniform.rds",0.992588336464224,0.0526700805733249,0.0131675201433312,0.00193080425864008,0.015685177507595,9.333
"paraboloid-surface_area-rep1-n240-r64","geodesic-k239-full_classical_primary.rds",0.988335922584797,0.0522199678015073,0.0130549919503768,0.00193080823942617,0.0186305879369671,9.28700000000001
"paraboloid-surface_area-rep1-n240-r64","geodesic-k239-full_classical_uniform.rds",0.992588336464224,0.0526700805733249,0.0131675201433312,0.00193080425864008,0.015685177507595,9.31999999999999
"paraboloid-surface_area-rep1-n240-r64","geodesic-k239-stress_primary.rds",0.985315246344062,0.0519009642605917,0.0129752410651479,0.00193080286564748,0.0143707165156406,9.33
"paraboloid-surface_area-rep1-n240-r64","geodesic-k239-stress_uniform.rds",0.992036532239346,0.0526115113056823,0.0131528778264206,0.00193080381157524,0.0153201736079893,9.317
"paraboloid-surface_area-rep1-n240-r64","geodesic-k32-classical_primary.rds",0.967156043112107,0.0323776934233269,0.00809442335583174,0.0277292291560421,0.00821906611936559,0.946
"paraboloid-surface_area-rep1-n240-r64","geodesic-k32-classical_uniform.rds",0.97848562012033,0.0331443036940959,0.00828607592352398,0.027730735949532,0.0138653882033992,0.971
"paraboloid-surface_area-rep1-n240-r64","geodesic-k32-full_classical_primary.rds",0.965579897448044,0.03225826194448,0.00806456548611999,0.0277232192661845,0.00885038067282192,0.933
