"replicate","k","method","alignment","sample_size","seed","subdivisions","coordinate_relative_rmse","coordinate_rmse","alignment_scale","surface_rms","surface_mc_se","surface_forward_rms","surface_reverse_rms","area","reference_area","zero_area_faces"
1,80,"Classical MDS","similarity",8000,1902,2,0.325108788003472,0.302551728352123,0.908770452291596,0.26585762255079,0.00117320973796633,0.237555277863201,0.29142415976726,5.34337634461758,6.54094176661301,0
1,80,"Stress MDS","rigid",8000,1902,2,0.273249573488756,0.254290667558395,1,0.234469988074946,0.00101532955225993,0.240075040184413,0.228727623378076,7.03944621634004,6.54094176661301,0
1,80,"Stress MDS","similarity",8000,1902,2,0.257246433100538,0.239397874861984,0.912951956994622,0.216055570939936,0.000937036377612757,0.20711122475991,0.224644074141326,5.86724661318195,6.54094176661301,0
1,80,"Classical MDS + edge-KK","rigid",8000,1902,2,0.368220705493875,0.342672406816084,1,0.266688550628057,0.00117817703081633,0.285138139345333,0.246863945449449,7.65319063024153,6.54094176661301,0
1,80,"Classical MDS + edge-KK","similarity",8000,1902,2,0.358012468205684,0.333172448805298,0.91557124432571,0.24839465921169,0.00106760147582222,0.254177014451336,0.2424744497352,6.41544549314337,6.54094176661301,0
1,80,"Stress MDS + edge-KK","rigid",8000,1902,2,0.273205904726626,0.254250028670906,1,0.189498937410044,0.000846074625778695,0.202242730701488,0.175833934260361,7.95086796791144,6.54094176661301,0
1,80,"Stress MDS + edge-KK","similarity",8000,1902,2,0.261833826285102,0.243666980428597,0.925220901933591,0.17878047880884,0.000793162047074659,0.182585859754963,0.17489231836698,6.80621106292751,6.54094176661301,0
2,32,"Original saddle","rigid",8000,1903,2,1.79901827649064e-16,1.65973938290032e-16,1,0.0213792956223838,0.000652128898784904,0.0300594703461643,0.00325220004406674,6.88225690077133,6.46563463579793,0
2,32,"Original saddle","similarity",8000,1903,2,1.5271853765718e-15,1.40895161967459e-15,0.999999999999998,0.0213792956223837,0.000652128898784901,0.0300594703461642,0.00325220004406694,6.8822569007713,6.46563463579793,0
2,32,"Classical MDS","rigid",8000,1903,2,0.353838144414425,0.326444211896836,1,0.29042809641554,0.00128718830523149,0.281272254198564,0.299303988268059,6.44401270245228,6.46563463579793,0
2,32,"Classical MDS","similarity",8000,1903,2,0.337392407813516,0.311271694155339,0.898261930736084,0.270694177710052,0.0012112842652627,0.240650212894878,0.2977215993607,5.19950950286019,6.46563463579793,0
2,32,"Stress MDS","rigid",8000,1903,2,0.267228103398438,0.246539467232841,1,0.225250639101739,0.00100262755267084,0.228436175936962,0.222019400852225,6.87988387124262,6.46563463579793,0
2,32,"Stress MDS","similarity",8000,1903,2,0.249077791763943,0.2297943416133,0.909128320639015,0.20651297010588,0.000920991100010823,0.194970004009262,0.217444041492363,5.68632242522988,6.46563463579793,0
2,32,"Classical MDS + edge-KK","rigid",8000,1903,2,0.373190573897415,0.344298388136989,1,0.288334302875336,0.0012936789421481,0.309423951916878,0.265575146445132,7.62480850110503,6.46563463579793,0
2,32,"Classical MDS + edge-KK","similarity",8000,1903,2,0.358727029706416,0.330954602682542,0.900718162803906,0.265221978809837,0.00116432641225747,0.269106681101633,0.261279525171941,6.18595535538395,6.46563463579793,0
2,32,"Stress MDS + edge-KK","rigid",8000,1903,2,0.26088702607411,0.240689312232897,1,0.201961892009134,0.000919382850305234,0.221544855794964,0.180263941260051,7.89489628372484,6.46563463579793,0
2,32,"Stress MDS + edge-KK","similarity",8000,1903,2,0.245995388384886,0.226950576016775,0.917738160842004,0.184981221158251,0.000825443752319938,0.194032294815469,0.175463879277299,6.64942375073827,6.46563463579793,0
2,65,"Original saddle","rigid",8000,1903,2,1.79901827649064e-16,1.65973938290032e-16,1,0.0213792956223838,0.000652128898784904,0.0300594703461643,0.00325220004406674,6.88225690077133,6.46563463579793,0
2,65,"Original saddle","similarity",8000,1903,2,1.5271853765718e-15,1.40895161967459e-15,0.999999999999998,0.0213792956223837,0.000652128898784901,0.0300594703461642,0.00325220004406694,6.8822569007713,6.46563463579793,0
2,65,"Classical MDS","rigid",8000,1903,2,0.30937182221916,0.285420445143236,1,0.260733524270355,0.00116597612348384,0.252417195682562,0.268792672297127,6.35329550743967,6.46563463579793,0
2,65,"Classical MDS","similarity",8000,1903,2,0.29677202606649,0.273796117494995,0.916158270038787,0.244292773852256,0.00110164570248846,0.220393491024797,0.266053806262495,5.33261301698654,6.46563463579793,0
2,65,"Stress MDS","rigid",8000,1903,2,0.250184619269861,0.23081547921132,1,0.213958369892939,0.000967989828282473,0.216318789332503,0.211571617841827,6.7937307199732,6.46563463579793,0
2,65,"Stress MDS","similarity",8000,1903,2,0.234522951488883,0.216366328161728,0.917744486436763,0.197194390004129,0.000893200727408725,0.186755166741081,0.207108093984063,5.72205327613077,6.46563463579793,0
2,65,"Classical MDS + edge-KK","rigid",8000,1903,2,0.323777995972284,0.298711301743986,1,0.235864656692478,0.00114733966628127,0.250456026450243,0.220308990665557,7.3809974283112,6.46563463579793,0
2,65,"Classical MDS + edge-KK","similarity",8000,1903,2,0.315319980869637,0.290908100992511,0.92809626677308,0.222178173392283,0.00105668594154093,0.226421499892546,0.217852211029112,6.35771572886181,6.46563463579793,0
2,65,"Stress MDS + edge-KK","rigid",8000,1903,2,0.23820793440265,0.219766021954292,1,0.167791170932658,0.000794163557217335,0.179884411210586,0.15475578402543,7.68649915822163,6.46563463579793,0
2,65,"Stress MDS + edge-KK","similarity",8000,1903,2,0.227499898685331,0.209886995806649,0.932384434209267,0.157324564584372,0.000725396998031229,0.163094981002812,0.151334280369706,6.68218681360933,6.46563463579793,0
2,70,"Original saddle","rigid",8000,1903,2,1.79901827649064e-16,1.65973938290032e-16,1,0.0213792956223838,0.000652128898784904,0.0300594703461643,0.00325220004406674,6.88225690077133,6.46563463579793,0
2,70,"Original saddle","similarity",8000,1903,2,1.5271853765718e-15,1.40895161967459e-15,0.999999999999998,0.0213792956223837,0.000652128898784901,0.0300594703461642,0.00325220004406694,6.8822569007713,6.46563463579793,0
2,70,"Classical MDS","rigid",8000,1903,2,0.303627680057974,0.280121010951553,1,0.256496035746339,0.00115064513292596,0.248199388293086,0.264532599802203,6.35086245989845,6.46563463579793,0
2,70,"Classical MDS","similarity",8000,1903,2,0.291378059921424,0.268819748906644,0.918066409529715,0.240467763857395,0.00108768291903598,0.217160508131032,0.261707479101044,5.35279859096527,6.46563463579793,0
2,70,"Stress MDS","rigid",8000,1903,2,0.247517362640908,0.228354719957662,1,0.211751347981614,0.000959840856356534,0.213754022179716,0.209729551437213,6.79149275766113,6.46563463579793,0
2,70,"Stress MDS","similarity",8000,1903,2,0.232041655159009,0.21407713227464,0.918640142615829,0.195229190305887,0.000886091897187837,0.184694455348439,0.205223857430193,5.73133877969505,6.46563463579793,0
2,70,"Classical MDS + edge-KK","rigid",8000,1903,2,0.314652853315831,0.290292622045499,1,0.227946338157438,0.00109636663178286,0.240545186737169,0.214609131437483,7.38520652519773,6.46563463579793,0
2,70,"Classical MDS + edge-KK","similarity",8000,1903,2,0.306706213614467,0.282961206324809,0.931248668419878,0.215288803714745,0.00101390606194961,0.218293359929399,0.212241718379271,6.40462895239867,6.46563463579793,0
