"replicate","k","method","run","stage","mix","iterations","budget","hit_budget","final_gradient","final_energy","final_edge_scale","final_edge_rel","accepted_steps","max_energy_increase"
3,67,"stress","primary",2,0.25,200,200,TRUE,0.141977822447757,0.0292201448735123,1.04186657972419,0.00391620244431104,201,0
3,67,"stress","primary",3,0.5,200,200,TRUE,0.0633332585620798,0.0151693475316588,1.0431558366823,0.00281652577903916,201,0
3,67,"stress","primary",4,0.75,200,200,TRUE,0.0725283738710018,0.0098100116195995,1.04385201963917,0.00226213757525747,201,0
3,67,"stress","primary",5,1,200,200,TRUE,0.0310169374334264,0.00728779237932927,1.04419897030242,0.00194796855540035,201,0
3,67,"classical_kk","additional",1,1,1000,1000,TRUE,0.0548702401298409,0.0144626836237735,1.01198138600588,0.00283151668809575,1001,0
3,67,"stress_kk","additional",1,1,1000,1000,TRUE,0.00342586748070795,0.00435109625999371,1.04402772790989,0.00150540903958972,1001,0
3,72,"classical","primary",1,0,200,200,TRUE,0.6016966904764,0.169274405150286,1.01215925540414,0.00900312022529387,201,0
3,72,"classical","primary",2,0.25,200,200,TRUE,0.0679017846972099,0.0806876460173441,1.01395214273063,0.00620073051863767,201,0
3,72,"classical","primary",3,0.5,200,200,TRUE,0.0383790234396677,0.0553178857212699,1.01391044910481,0.0051309868874184,201,0
3,72,"classical","primary",4,0.75,200,200,TRUE,0.030551454517145,0.0429842799967973,1.01348583216675,0.00452185022165501,201,0
3,72,"classical","primary",5,1,200,200,TRUE,0.0762823960275006,0.0345104311324326,1.01302345404504,0.0040508523273709,201,0
3,72,"stress","primary",1,0,200,200,TRUE,0.446934944853682,0.132230530515591,1.03733213569849,0.00776415666898275,201,0
3,72,"stress","primary",2,0.25,200,200,TRUE,0.0722046752785034,0.0501439034811804,1.04064091247456,0.00476282873804468,201,0
3,72,"stress","primary",3,0.5,200,200,TRUE,0.118350024610048,0.0231862591390304,1.042353960423,0.00323122975241528,201,0
3,72,"stress","primary",4,0.75,200,200,TRUE,0.0618210395471524,0.0137931583867881,1.04331003647432,0.00248826999745837,201,0
3,72,"stress","primary",5,1,200,200,TRUE,0.0528060986044424,0.00970439751427636,1.04380493060419,0.00208475807364094,201,0
3,80,"classical","primary",1,0,200,200,TRUE,0.583569166016676,0.285677479723653,1.00940648429389,0.0104951184541436,201,0
3,80,"classical","primary",2,0.25,200,200,TRUE,0.27914813346485,0.130114826054754,1.01257420551647,0.00705509484914879,201,0
3,80,"classical","primary",3,0.5,200,200,TRUE,0.0679562630954711,0.088450162046544,1.01277428559002,0.00581104751751296,201,0
3,80,"classical","primary",4,0.75,200,200,TRUE,0.0923604469655848,0.0686913191059895,1.0125035149133,0.00511828159339657,201,0
3,80,"classical","primary",5,1,200,200,TRUE,0.119785597386053,0.0564917654979359,1.01204703417792,0.00463995995298149,201,0
3,80,"stress","primary",1,0,200,200,TRUE,0.274734217127406,0.201959441627023,1.03577236988656,0.00859969781827445,201,0
3,80,"stress","primary",2,0.25,200,200,TRUE,0.124492527297524,0.0815494813808274,1.03944937110338,0.00544093559187227,201,0
3,80,"stress","primary",3,0.5,200,200,TRUE,0.194822965433963,0.0389079741749552,1.04148365306371,0.00374787094650442,201,0
3,80,"stress","primary",4,0.75,200,200,TRUE,0.0861355980408887,0.023086322065424,1.04269143989894,0.00288131907285743,201,0
