"start","initialization","initial_raw_stress","raw_stress","normalized_stress","iterations","converged","termination","backend_stress","warnings","error","replicate","k","selected","elapsed"
6,"random",287528.785675118,767.571437240121,0.000790444880826134,1000,FALSE,"iteration_limit",0.028114851605978,"Iteration limit reached! You may want to increase the itmax argument!","",1,80,FALSE,21.0410000000001
1,"classical",1118.80811766741,738.374263736176,0.000763840847801241,68,TRUE,"stress_tolerance",0.0276376708099884,"","",2,32,FALSE,2.50999999999999
2,"random",282236.844192006,736.380533658774,0.000761778353823047,266,TRUE,"stress_tolerance",0.0276003324947912,"","",2,32,TRUE,6.494
3,"random",281934.476777845,791.053320736046,0.000818336809451562,234,TRUE,"stress_tolerance",0.0286065868193248,"","",2,32,FALSE,5.39700000000002
4,"random",290126.53024122,739.65018965229,0.000765160780498468,450,TRUE,"stress_tolerance",0.027661539734774,"","",2,32,FALSE,9.89700000000002
5,"random",281404.316747212,794.430434191941,0.000821830399805347,253,TRUE,"stress_tolerance",0.0286675844780365,"","",2,32,FALSE,5.69399999999999
6,"random",275927.291688968,741.009537018308,0.0007665670118577,955,TRUE,"stress_tolerance",0.0276869465968664,"","",2,32,FALSE,19.768
1,"classical",1070.48181620876,709.151888981492,0.000742030467829271,377,TRUE,"stress_tolerance",0.0272402361926126,"","",2,65,FALSE,8.87199999999996
2,"random",279210.510196347,706.348922161895,0.000739097546387797,256,TRUE,"stress_tolerance",0.027186348529874,"","",2,65,TRUE,5.87299999999999
3,"random",278924.741694905,790.623651965995,0.000827279525670875,234,TRUE,"stress_tolerance",0.0287624673084716,"","",2,65,FALSE,5.33699999999999
4,"random",287045.399192837,707.171878270237,0.000739958657407261,274,TRUE,"stress_tolerance",0.0272021811148901,"","",2,65,FALSE,6.11500000000001
5,"random",278372.639532614,750.306617825203,0.000785093263221588,1000,FALSE,"iteration_limit",0.0280195157563768,"Iteration limit reached! You may want to increase the itmax argument!","",2,65,FALSE,20.831
6,"random",272950.864791967,714.673510175135,0.000747808089268564,1000,FALSE,"iteration_limit",0.0273460799616437,"Iteration limit reached! You may want to increase the itmax argument!","",2,65,FALSE,20.884
1,"classical",1065.45133402179,706.540838619656,0.000739837087222092,393,TRUE,"stress_tolerance",0.027199946456236,"","",2,70,FALSE,13.127
2,"random",279019.932408708,704.081245003952,0.000737261583476338,257,TRUE,"stress_tolerance",0.0271525612691757,"","",2,70,TRUE,7.224
3,"random",278733.940753442,772.5391226571,0.00080894558818194,1000,FALSE,"iteration_limit",0.0284419687817499,"Iteration limit reached! You may want to increase the itmax argument!","",2,70,FALSE,26.455
4,"random",286844.816815956,704.409161322621,0.000737604953088958,271,TRUE,"stress_tolerance",0.0271588835022526,"","",2,70,FALSE,7.639
5,"random",278180.475727377,741.29878695949,0.000776233029044502,1000,FALSE,"iteration_limit",0.0278609588680073,"Iteration limit reached! You may want to increase the itmax argument!","",2,70,FALSE,26.537
6,"random",272761.073005137,712.498268963982,0.000746075265784969,1000,FALSE,"iteration_limit",0.0273143783708326,"Iteration limit reached! You may want to increase the itmax argument!","",2,70,FALSE,26.079
1,"classical",1062.25016694766,704.816123360575,0.000738525815791024,398,TRUE,"stress_tolerance",0.0271758314645761,"","",2,75,FALSE,9.38799999999998
2,"random",278838.634915514,702.627243285958,0.000736232246746283,258,TRUE,"stress_tolerance",0.0271335999592073,"","",2,75,FALSE,6.02800000000002
3,"random",278550.529403137,766.367871919633,0.000803021439275346,1000,FALSE,"iteration_limit",0.0283376329158863,"Iteration limit reached! You may want to increase the itmax argument!","",2,75,FALSE,21.318
4,"random",286657.019964623,702.596798317836,0.000736200345667158,269,TRUE,"stress_tolerance",0.0271330121008931,"","",2,75,TRUE,6.154
5,"random",278000.095735813,735.98780617276,0.000771188366654196,1000,FALSE,"iteration_limit",0.0277702784763584,"Iteration limit reached! You may want to increase the itmax argument!","",2,75,FALSE,21.152
6,"random",272579.913167416,711.105016839527,0.000745115492208784,1000,FALSE,"iteration_limit",0.0272968036994971,"Iteration limit reached! You may want to increase the itmax argument!","",2,75,FALSE,21.485
1,"classical",1054.68532809815,700.54798317641,0.000734577228606815,399,TRUE,"stress_tolerance",0.02710308522303,"","",2,80,FALSE,9.11799999999994
2,"random",278642.753345563,698.994797354518,0.000732948596501725,263,TRUE,"stress_tolerance",0.0270730234089527,"","",2,80,FALSE,5.95100000000002
3,"random",278353.215663419,750.624133401015,0.000787085836917269,1000,FALSE,"iteration_limit",0.0280550501143311,"Iteration limit reached! You may want to increase the itmax argument!","",2,80,FALSE,20.9069999999999
4,"random",286454.812051371,698.231294539548,0.000732148006398943,266,TRUE,"stress_tolerance",0.0270582336156469,"","",2,80,TRUE,5.86500000000001
5,"random",277802.558710059,723.687864753127,0.000758841134130947,1000,FALSE,"iteration_limit",0.027547071244167,"Iteration limit reached! You may want to increase the itmax argument!","",2,80,FALSE,20.6469999999999
6,"random",272384.046751218,706.962542201612,0.000741303376000891,1000,FALSE,"iteration_limit",0.0272268870053287,"Iteration limit reached! You may want to increase the itmax argument!","",2,80,FALSE,20.208
1,"classical",1312.76435082209,852.166646246639,0.000825807899034338,56,TRUE,"stress_tolerance",0.0287368735083405,"","",3,32,FALSE,2.39400000000001
2,"random",304111.229672052,877.956806735648,0.000850800332548361,1000,FALSE,"iteration_limit",0.0291684818348222,"Iteration limit reached! You may want to increase the itmax argument!","",3,32,FALSE,23.25
