"replicate","k","edges","bridges","components_before","graph_seconds","xg_error","xg_profiled_error","fitted_scale","mean_pair_relative_bias","fraction_shorter","coarse_error","sources32_error","sources64_error","fine16_error","fine128_error","medium16_error"
1,61,34102,0,1,0.56,0.00237047159559707,0.00229568042896878,1.00058550300694,0.00057836024853574,0.479556386958846,0.00234966659234484,0.00238128238193288,0.00240214882260292,0.00235053095396948,NA,0.00234480560433983
1,62,34687,0,1,0.593999999999999,0.0023353053140451,0.0022790816085806,1.00050418147421,0.000494446858804109,0.491022514698022,0.00231695251610174,0.00234946931982726,0.00236761542271228,0.00231894595888405,NA,0.002313928051604
1,63,35262,0,1,0.583,0.00228922666054181,0.00225611228591893,1.00038290637343,0.000382419740652936,0.508843866916088,0.00227496763897129,0.00231225618571659,0.00232609707345622,0.00227640909774255,NA,0.00227276977428414
1,64,35839,0,1,0.58,0.00226309406913401,0.0022400792004444,1.00031695194632,0.000312134944058149,0.521153460716195,0.00225102603263396,0.00227590105275232,0.00229645129748253,0.00225855410165246,NA,0.0022555013648743
1,65,36426,0,1,0.587999999999999,0.00223192644916746,0.00222013735303857,1.00022422128024,0.000219462315823304,0.533964123463389,0.00222315010020181,0.00225564656013475,0.00226888894693743,0.00222985085087828,NA,0.00222767530249337
1,66,36991,0,1,0.593999999999999,0.0022118976362733,0.00220636221218743,1.00015159451038,0.000140289370725914,0.546048236237306,0.00220568939580611,0.00224185846186261,0.00225375697944334,0.00221430847926969,NA,0.0022128395608731
1,67,37560,0,1,0.600000000000001,0.00221862020290161,0.00221721460203653,1.00007419877234,7.02491231491396e-05,0.558274318546232,0.00221537942015756,0.00225744456827145,0.00226795527704332,0.00223608409902457,NA,0.00223525401462528
1,68,38128,0,1,0.607999999999999,0.00220278469457852,0.0022027825416054,0.999989400674837,-1.84166313956566e-05,0.569748797434527,0.00220271493085066,0.00221789144663757,0.00224584705609397,0.00222214706040521,NA,0.00222202133612368
1,69,38697,0,1,0.624,0.00220829422355042,0.00220723441724396,0.999926547404153,-8.04388128346525e-05,0.579152191341529,0.00221061514673119,0.00222495464111344,0.00224834352360363,0.00223449221054547,NA,0.00223492214677198
1,70,39297,0,1,0.631,0.00220389909526618,0.00219877902083077,0.999844947871562,-0.00016097266323985,0.590409540352753,0.00220922440424931,0.00221337364765179,0.00224574899783765,0.00222411493509776,NA,0.00222544995618913
1,71,39874,0,1,0.663,0.0021673854259394,0.00215581133374525,0.999771615053422,-0.000239255820518795,0.600372461250668,0.00217551151171335,0.00218639331622218,0.0022197274791647,0.00218453133846823,NA,0.00218670227205634
1,72,40459,0,1,0.646999999999998,0.00217682573299419,0.00215861589426723,0.999714326099019,-0.000297266383205835,0.609625534473544,0.0021870175659716,0.00220022376203339,0.00223204619108137,0.00219577314450177,NA,0.00219835741619754
1,73,41036,0,1,0.658000000000001,0.00219648437085921,0.00216446970497564,0.999621636377956,-0.000387462804905582,0.621425708177445,0.00220997657349125,0.00222451779160808,0.00225338530305012,0.00221758563799474,NA,0.00222119941624259
1,74,41609,0,1,0.661999999999999,0.00221200230976871,0.0021675476564157,0.999554039326695,-0.00045154056775667,0.630837453233565,0.00222782873360238,0.00222776982200845,0.00226032209597357,0.00220920495657127,NA,0.00221347151453824
1,75,42179,0,1,0.673000000000002,0.00221879835871276,0.00216154918311993,0.999494536409078,-0.000512450894600771,0.639497594869054,0.00223672618285489,0.00222997659554665,0.00227328239339226,0.00220901699771022,NA,0.00221384916607516
1,76,42758,0,1,0.677999999999997,0.0021891885745556,0.00210989986035676,0.999411692628986,-0.000590462749295922,0.647957308925708,0.00221075931464416,0.0022266832321279,0.00220836415946085,0.00218024619610908,NA,0.00218622204413152
1,77,43334,0,1,0.696000000000002,0.00222236703339089,0.00212546125207565,0.999346369037944,-0.0006538227118289,0.657043359166221,0.00224604174116459,0.00224731910277643,0.0022357617340135,0.00220457621627659,NA,0.00221108595296631
1,78,43906,0,1,0.683999999999997,0.00224010573867832,0.00212068719705912,0.999273853610999,-0.000724775969866203,0.665945684126136,0.00226618141164659,0.00226306415094774,0.00225407486251475,0.00222976144741,NA,0.00223701351747508
1,79,44505,0,1,0.690000000000001,0.00227231055628102,0.00213178227447903,0.999208742465402,-0.00079170268866791,0.673269641902726,0.00230037520409427,0.00228302196394367,0.00228404056287738,0.00226716734918324,NA,0.00227480754411133
1,80,45078,0,1,0.696000000000002,0.0023146020371499,0.00215174174813989,0.999142487792835,-0.000853222235501404,0.679883752004276,0.00234442946896163,0.00232633387047903,0.00233010355597662,0.00231710995486988,NA,0.00232531883774111
2,3,1890,2,3,0.613,0.621800408287093,0.217414468144795,1.52590422995242,0.653222517648994,0.00364110101549973,0.62168570948203,0.592352993508777,0.603388302298941,0.607001235027144,NA,0.60697009090963
2,4,2446,0,1,0.151000000000002,0.233411564916492,0.0754245105356093,1.21467965407985,0.247206945385327,0.00475180384820951,0.233318987115924,0.233571304685552,0.230496905526339,0.253150960734574,NA,0.253125564865799
2,5,3016,0,1,0.161999999999999,0.158894148674725,0.0550474117377995,1.14583840222915,0.16529055168683,0.0059543693212186,0.158807579123253,0.165252067704054,0.162039526757894,0.17885037384308,NA,0.178826569919445
2,6,3579,0,1,0.169,0.11323403797833,0.0378819693964861,1.10520959301603,0.116161967283717,0.00726549973276323,0.113149781863228,0.116376397272616,0.115436065379322,0.119114185613077,NA,0.119091238863002
2,7,4134,0,1,0.175000000000001,0.0901605576990077,0.0330692673874207,1.08274590135114,0.0918990895321796,0.00860168359166221,0.0900795970982756,0.0933134746684025,0.0915107029511046,0.0943652227894462,NA,0.0943436966242003
2,8,4715,0,1,0.185,0.0713045418867545,0.0292374029539413,1.0641584341934,0.0709146848302754,0.00998797434526991,0.0712266724794672,0.0760246565013355,0.0726126460324494,0.0791441049556828,NA,0.079123394147214
2,9,5269,0,1,0.193999999999999,0.05997895202087,0.0257857253452784,1.05347483981029,0.0581721529277511,0.0114243719935863,0.0599024630359105,0.0638704537018657,0.061030375504081,0.0667649684056386,NA,0.0667450969052683
2,10,5836,0,1,0.206000000000001,0.0476704037095498,0.0189872394668508,1.04335909504917,0.0474650660346017,0.0127856092998397,0.0475932868285905,0.0462449321529902,0.0472527964653844,0.0454992429478509,NA,0.0454785532682187
2,11,6381,0,1,0.213999999999999,0.0419355749557408,0.0180884778241552,1.03750197968593,0.0410419732251597,0.0143890299305184,0.0418594731483736,0.0402352278518163,0.0413511697641673,0.0395421238152631,NA,0.0395217336532516
2,12,6939,0,1,0.221,0.0369551669346129,0.0167754875391801,1.03264344748331,0.035374003383664,0.0158922367717798,0.0368801072626884,0.0355716483044744,0.0365809676007422,0.0348848466985955,NA,0.0348648294865215
2,13,7496,0,1,0.229000000000001,0.0334915635089139,0.0158735497389581,1.02923639013005,0.0316428384966894,0.0175290619989311,0.0334175562986949,0.0324078545343182,0.0333528686498781,0.0313265058364742,NA,0.031306898119923
2,14,8032,0,1,0.233000000000001,0.0283981076505359,0.0130350186974074,1.02505830631688,0.0271672133347076,0.0191491849278461,0.0283238090079537,0.0273001555810472,0.0285748618225847,0.026851590303006,NA,0.0268317076200731
